schemaVersion,recordType,content.title,content.source_name,content.url,content.published_date,content.summary,collectedAt
1.0,NEWS,OpenAI to start showing ads on ChatGPT’s free and Go tiers in India,TechCrunch AI,https://techcrunch.com/2026/08/27/openai-to-start-showing-ads-on-chatgpts-free-and-go-tiers-in-india/,2026-08-27T11:35:59+00:00,"OpenAI has more than 100 million weekly active ChatGPT users in India, a huge chunk of whom are on the free or the lower-priced Go tiers. ",2026-08-27T11:50:30.202209+00:00
1.0,NEWS,Nvidia closes in on Hugging Face acquisition,TechCrunch AI,https://techcrunch.com/2026/08/26/nvidia-closes-in-on-hugging-face-acquisition/,2026-08-27T06:32:51+00:00,"Nvidia has reportedly agreed to buy Hugging Face, the popular open-source AI hub, for $12.9 billion in a move that would let Nvidia both protect its chip empire and jump back into the cloud business.",2026-08-27T11:50:30.202381+00:00
1.0,NEWS,Viral AI startup Instinct has raised $350M at a $2.5B valuation,TechCrunch AI,https://techcrunch.com/2026/08/26/viral-ai-startup-instinct-has-raised-350-million-at-a-2-5-billion-valuation/,2026-08-27T00:24:57+00:00,The startup is only a year old but it has already generated a massive amount of hype (and money) while also spurring privacy concerns. ,2026-08-27T11:50:30.202522+00:00
1.0,NEWS,Amazon just tripled its order of Nvidia chips over ‘surging demand’,TechCrunch AI,https://techcrunch.com/2026/08/26/amazon-just-tripled-its-order-of-nvidia-chips-over-surging-demand/,2026-08-26T23:47:18+00:00,Amazon is adding another 2 million Nvidia GPU chips to its data centers over the next two years. But this extended partnerships stretches beyond buying more chips. ,2026-08-27T11:50:30.202646+00:00
1.0,NEWS,Anthropic continues compute-gobbling streak in $45B deal with Nscale,TechCrunch AI,https://techcrunch.com/2026/08/26/anthropic-continues-compute-gobbling-streak-in-45-billion-deal-with-nscale/,2026-08-26T21:37:39+00:00,The new deal with the infrastructure provider is the latest example of Anthropic's white-hot compute-gobbling streak. ,2026-08-27T11:50:30.203075+00:00
1.0,NEWS,"Google’s Gemini has a branding problem, and so does the rest of AI",TechCrunch AI,https://techcrunch.com/2026/08/26/googles-gemini-has-a-branding-problem-and-so-does-the-rest-of-ai/,2026-08-26T19:37:34+00:00,Consumer AI apps need to stop making users learn their product architecture.,2026-08-27T11:50:30.203204+00:00
1.0,NEWS,How do we explain OpenAI’s executive exodus?,TechCrunch AI,https://techcrunch.com/2026/08/26/how-do-we-explain-openais-executive-exodus/,2026-08-26T19:34:04+00:00,Was Greg Brockman the right executive all along?,2026-08-27T11:50:30.203320+00:00
1.0,NEWS,OpenAI releases its official report on the Hugging Face breach,TechCrunch AI,https://techcrunch.com/2026/08/26/openai-releases-its-official-report-on-the-hugging-face-breach/,2026-08-26T19:05:22+00:00,"The report, which spans several discrete cybersecurity compromises, is the most complete accounting of the incident to date.",2026-08-27T11:50:30.203433+00:00
1.0,NEWS,Radar makes podcasts searchable — and usable by AI agents,TechCrunch AI,https://techcrunch.com/2026/08/26/radar-makes-podcasts-searchable-and-usable-by-ai-agents/,2026-08-26T15:47:28+00:00,"Particle’s new podcast intelligence platform transcribes and analyzes more than 130,000 podcasts, making their conversations searchable on the web and accessible to AI agents through an API and MCP.",2026-08-27T11:50:30.203553+00:00
1.0,NEWS,Ex-Meta scientists want to bring visual AI to the factory floor,TechCrunch AI,https://techcrunch.com/2026/08/26/ex-meta-scientists-want-to-bring-visual-ai-to-the-factory-floor/,2026-08-26T15:00:00+00:00,Perceptron offers an AI model that it says can help machines navigate the world while also providing in-depth visual intelligence. ,2026-08-27T11:50:30.203672+00:00
1.0,NEWS,Bill Gates wants to see a robot tax and ‘Human Reserved’ jobs to mitigate harms from AI,TechCrunch AI,https://techcrunch.com/2026/08/26/bill-gates-wants-to-see-a-robot-tax-and-human-reserved-jobs-to-mitigate-harms-from-ai/,2026-08-26T14:37:01+00:00,"Gates is mostly in the Responsible AI camp, but there are a few ideas in here we hadn't heard before.",2026-08-27T11:50:30.203779+00:00
1.0,NEWS,Surprise: Z.ai is the AI lab behind the mysterious Ox Alpha model,TechCrunch AI,https://techcrunch.com/2026/08/26/surprise-z-ai-is-the-ai-lab-behind-the-mysterious-ox-alpha-model/,2026-08-26T14:19:29+00:00,"Z.ai confirms it is behind Ox Alpha, the mysterious open AI model topping benchmarks and leaderboards, and its weights are set to be released soon.",2026-08-27T11:50:30.203893+00:00
1.0,NEWS,Robot brain builders are pushing out of their GPT-2 era,TechCrunch AI,https://techcrunch.com/2026/08/26/robot-brain-builders-are-pushing-out-of-their-gpt-2-era/,2026-08-26T13:30:00+00:00,Robot bodies are waiting for their AI brains to catch up. ,2026-08-27T11:50:30.203999+00:00
1.0,NEWS,QueryStory wants you to believe what AI is telling you,TechCrunch AI,https://techcrunch.com/2026/08/26/querystory-wants-you-to-believe-what-ai-is-telling-you/,2026-08-26T13:00:00+00:00,The startup came out of stealth with $6 million in seed funding and a plan to use LLMs and cybersecurity know-how to make AI queries coherent. ,2026-08-27T11:50:30.204109+00:00
1.0,NEWS,Arga Labs is building a better way to train enterprise AI agents,TechCrunch AI,https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26T12:55:28+00:00,"Arga has raised $10 million in a seed funding round that was led by General Catalyst, with participation from Box Group, Emergence, Gradient and SV Angel.",2026-08-27T11:50:30.204219+00:00
1.0,NEWS,Hearing tech startup Legato emerges from stealth with $12M and a peek at its AI hearing glasses,TechCrunch AI,https://techcrunch.com/2026/08/26/hearing-tech-startup-legato-emerges-from-stealth-with-12m-and-a-peek-at-its-ai-hearing-glasses/,2026-08-26T12:00:00+00:00,"The glasses, called Legato Frames, integrate the company’s patented hearing-assistance technology into the arms of eyewear frames.",2026-08-27T11:50:30.204336+00:00
